word sentid sentpos wlen surp entropy entred
Chandler 6 7 8 16.44719696044922 9.238139152526855 1.4579429626464844
first 6 8 5 11.18196964263916 9.212658882141113 0.025480270385742188
reported 6 9 8 12.449031829833984 9.74611759185791 0
to 6 10 2 4.622552871704102 9.692046165466309 0.05407142639160156
the 6 11 3 2.591214895248413 9.604315757751465 0.08773040771484375
regiment 6 12 8 13.002544403076172 11.786697387695312 0
the 6 13 3 8.594464302062988 8.601980209350586 3.1847171783447266
only 6 14 4 9.109798431396484 11.434042930603027 0
<unk> 6 15 5 5.546420097351074 11.023801803588867 0.41024112701416016
he 6 16 2 9.018753051757812 8.238213539123535 2.785588264465332
had 6 17 3 4.089928150177002 7.521266460418701 0.716947078704834
ever 6 18 4 9.647746086120605 9.294570922851562 0
ridden 6 19 6 17.842363357543945 8.82177448272705 0.4727964401245117
was 6 20 3 9.536773681640625 8.409151077270508 0.41262340545654297
a 6 21 1 4.281940937042236 10.130667686462402 0
<unk> 6 22 5 5.05322265625 11.802214622497559 0
chair 6 23 5 15.561237335205078 9.383345603942871 2.4188690185546875
and 6 24 3 4.273135185241699 7.552849769592285 1.830495834350586
the 6 25 3 3.113896608352661 10.878680229187012 0
only 6 26 4 8.721196174621582 11.754076957702637 0
weapon 6 27 6 13.543889999389648 11.185689926147461 0.5683870315551758
he 6 28 2 9.469070434570312 7.40049934387207 3.7851905822753906
had 6 29 3 4.270469665527344 8.113986015319824 0
ever 6 30 4 9.678094863891602 9.25370979309082 0
wielded 6 31 7 18.152463912963867 8.762670516967773 0.4910392761230469
was 6 32 3 9.704545974731445 8.305927276611328 0.4567432403564453
a 6 33 1 4.3356499671936035 10.245862007141113 0
<unk> 6 34 5 4.920382976531982 11.860158920288086 0
Chandler 7 0 8 16.47734832763672 11.105680465698242 0
had 7 1 3 7.8655242919921875 9.210979461669922 1.8947010040283203
been 7 2 4 3.68403697013855 9.445113182067871 0
commissioned 7 3 12 10.355862617492676 9.72548770904541 0
in 7 4 2 3.2213757038116455 6.141297340393066 3.5841903686523438
the 7 5 3 2.098602771759033 9.184673309326172 0
Medical 7 6 7 19.934831619262695 11.657506942749023 0
Service 7 7 7 13.352274894714355 9.922974586486816 1.734532356262207
Corps 7 8 5 12.87209415435791 7.637467384338379 2.2855072021484375
and 7 9 3 4.343222141265869 7.485884666442871 0.1515827178955078
was 7 10 3 6.683673858642578 10.797394752502441 0
serving 7 11 7 12.458263397216797 10.106656074523926 0.6907386779785156
as 7 12 2 4.964257717132568 7.5802998542785645 2.5263562202453613
a 7 13 1 2.8136634826660156 8.435317993164062 0
personnel 7 14 9 14.93958568572998 11.615013122558594 0
officer 7 15 7 12.835731506347656 7.782007694244385 3.833005428314209
for 7 16 3 5.712724208831787 7.343091011047363 0.4389166831970215
the 7 17 3 1.9405213594436646 8.933122634887695 0
Kansas 7 18 6 13.189898490905762 11.62820053100586 0
City 7 19 4 11.666059494018555 6.653930187225342 4.974270343780518
Medical 7 20 7 16.53160858154297 6.621227264404297 0.03270292282104492
Depot 7 21 5 18.92576026916504 9.939204216003418 0
when 7 22 4 9.42868423461914 6.954022407531738 2.9851818084716797
he 7 23 2 6.605567932128906 10.011308670043945 0
decided 7 24 7 8.92271614074707 8.063360214233398 1.9479484558105469
that 7 25 4 5.829513072967529 9.558988571166992 0
