,code,mean_rt,word,surprisal,wlen
0,17000,380.27529411764704,In,5.506053447723389,2
1,17002,296.04294117647055,County,12.51424789428711,6
2,17004,403.5535294117647,near,13.308076858520508,4
3,17005,306.07588235294116,the,1.6626734733581543,3
4,17006,289.0482352941176,River,17.830991744995117,5
5,17008,346.30529411764707,there,13.02434253692627,5
6,17009,306.6311764705883,is,2.341245651245117,2
7,17010,281.77647058823527,a,2.099515676498413,1
8,17011,258.03647058823526,quiet,10.690210342407228,5
9,17012,298.04352941176467,little,11.689720153808594,6
10,17013,292.3229411764706,suburb,13.163521766662598,6
11,17014,335.39294117647063,by,7.506709575653076,2
12,17015,262.9494117647059,the,1.7976386547088623,3
13,17016,243.0141176470588,name,11.023736953735352,4
14,17017,244.76882352941175,of,2.489831924438477,2
15,17019,375.4025,which,11.66736888885498,5
16,17020,324.44176470588235,means,10.663047790527344,5
17,17022,310.26529411764704,of,5.511377334594727,2
18,17025,377.0558823529412,none,16.001657485961914,4
19,17026,269.1035294117647,of,2.160531044006348,2
20,17027,256.2182352941177,the,1.6510562896728516,3
21,17028,264.6788235294118,residents,14.406627655029297,9
22,17029,326.9576470588235,realize,14.180843353271484,7
23,17030,299.5382352941176,the,2.3901350498199463,3
24,17031,268.4082352941176,influence,11.881874084472656,9
25,17032,296.78470588235297,their,11.86904525756836,5
26,17033,296.24176470588236,town,13.084811210632324,4
27,17034,361.4358823529412,has,7.337877750396728,3
28,17035,266.3805882352941,had,7.287591457366943,3
29,17036,256.7835294117647,on,7.618955135345459,2
30,17037,285.1605882352941,American,11.54800510406494,8
31,17038,348.18470588235294,military,11.427464485168455,8
32,17040,369.60823529411766,or,7.162635803222656,2
33,17041,260.2647058823529,the,3.7887465953826895,3
34,17042,249.57823529411763,deeds,18.69261360168457,5
35,17043,290.52941176470586,of,1.7230325937271118,2
36,17045,270.42294117647054,that,7.819105625152588,4
37,17046,247.63823529411766,have,6.882690906524658,4
38,17047,271.3376470588235,been,1.6772751808166504,4
39,17048,319.1605882352941,done,8.810994148254395,4
40,17049,281.86823529411765,in,3.5437347888946533,2
41,17050,245.44058823529411,its,6.436832427978516,3
42,17052,300.72764705882355,The,3.103843927383423,3
43,17053,274.9164705882353,cry,17.04175567626953,3
44,17056,356.94529411764705,from,7.361648559570312,4
45,17057,273.3517647058824,the,1.8385183811187744,3
46,17058,265.30176470588236,lips,15.5247802734375,4
47,17059,253.22411764705885,of,0.0415348336100578,2
48,17060,247.4129411764706,a,4.091999530792236,1
49,17061,307.34235294117644,charging,17.48607635498047,8
50,17064,291.204705882353,was,8.304306030273438,3
51,17065,274.834705882353,the,4.457789897918701,3
52,17066,243.74,last,8.63395881652832,4
53,17067,258.34352941176473,sound,13.941466331481934,5
54,17068,250.1764705882353,heard,18.437721252441406,5
55,17069,288.1482352941177,on,5.239626884460449,2
56,17070,274.4364705882353,this,7.692483901977539,4
57,17071,296.5311764705882,earth,15.756973266601562,5
58,17072,266.5064705882353,by,8.291378021240234,2
59,17073,288.9194117647059,untold,18.54474258422852,6
60,17074,324.6235294117647,numbers,11.415345191955566,7
61,17075,311.3388235294118,of,5.486225128173828,2
62,17077,500.07117647058817,Sioux,18.121591567993164,5
63,17078,363.69235294117647,and,4.97519588470459,3
64,17080,377.6035294117647,Mexican,16.038795471191406,7
65,17082,440.943125,under,11.546119689941406,5
66,17085,429.90588235294115,Japanese,18.89505386352539,8
67,17086,286.37176470588236,in,5.878751754760742,2
68,17087,268.2917647058824,the,1.8764854669570925,3
69,17088,240.98352941176472,South,9.24240779876709,5
70,17090,359.81823529411764,and,3.945981740951538,3
71,17091,320.58187499999997,Chinese,13.279088973999023,7
72,17092,286.32235294117646,and,4.800612926483154,3
73,17093,321.4123529411765,North,11.734904289245604,5
74,17094,282.0876470588235,Korean,9.275214195251465,6
75,17095,298.6858823529412,Communists,17.344295501708984,10
76,17096,309.43176470588236,in,6.106496334075928,2
77,17099,459.94666666666666,is,5.819437503814697,2
78,17100,330.0094117647059,the,3.6319971084594727,3
79,17101,300.55999999999995,battle,12.089449882507324,6
80,17102,276.0141176470588,cry,18.018632888793945,3
81,17103,275.82705882352946,of,9.189542770385742,2
82,17104,269.52235294117645,the,2.3941903114318848,3
83,17112,355.5176470588235,Today,19.301353454589844,5
84,17113,274.72235294117644,a,9.023029327392578,1
85,17114,331.57375,battle,12.423579216003418,6
86,17115,303.1664705882353,cry,18.3084659576416,3
87,17116,291.48823529411766,may,18.108436584472656,3
88,17117,293.77176470588233,seem,9.69582462310791,4
89,17118,273.80529411764707,an,10.37607479095459,2
90,17120,509.60647058823525,for,6.0584564208984375,3
91,17121,347.95411764705887,in,10.158724784851074,2
92,17122,374.94588235294117,the,2.059338092803955,3
93,17123,307.0135294117647,modern,15.719156265258787,6
94,17126,405.20411764705887,de,14.849239349365234,2
95,17127,443.555294117647,corps,15.566020011901855,5
96,17128,321.2352941176471,has,11.996438026428224,3
97,17129,328.739375,been,1.9662771224975584,4
98,17131,306.2176470588235,to,4.166173934936523,2
99,17132,340.67812499999997,organizational,17.66035270690918,14
100,17133,388.88882352941175,charts,15.887279510498049,6
101,17134,305.5394117647059,and,5.2487382888793945,3
102,17136,269.3670588235294,But,4.942493915557861,3
103,17138,272.0070588235294,tell,14.403790473937988,4
104,17139,265.37,that,2.908748149871826,4
105,17140,274.9235294117648,to,7.883507251739502,2
106,17141,274.10823529411766,a,4.859838485717773,1
107,17142,255.72235294117647,veteran,12.424750328063965,7
108,17143,275.01882352941175,of,3.7151613235473633,2
