,code,mean_rt,word,surprisal
222,17222,270.39235294117645,a,3.83704
224,17224,311.00529411764705,chair,15.6134
225,17225,329.91,and,5.42282
226,17226,332.91823529411766,the,4.5622
227,17227,295.0,only,10.2807
228,17228,281.7664705882353,weapon,16.2606
229,17229,269.33411764705886,he,10.5315
230,17230,241.23941176470586,had,5.1987
231,17231,274.8264705882353,ever,9.12806
233,17233,272.37,was,9.00098
234,17234,271.2535294117647,a,3.83704
236,17236,283.47235294117644,Chandler,15.5374
237,17237,324.8241176470588,had,9.47528
238,17238,267.46352941176474,been,3.18334
239,17239,342.70125,commissioned,16.0052
240,17240,319.58411764705886,in,7.26935
241,17241,254.70823529411766,the,2.68569
242,17242,300.0335294117647,Medical,15.7046
243,17243,293.2188235294118,Service,7.38966
244,17244,280.1382352941177,Corps,8.00778
245,17245,275.54352941176467,and,6.76455
246,17246,254.66117647058823,was,8.48828
247,17247,275.52764705882356,serving,15.5518
248,17248,247.2435294117647,as,4.34542
249,17249,248.36058823529413,a,3.23962
250,17250,350.8,personnel,15.0441
251,17251,316.9235294117647,officer,13.9133
252,17252,275.57176470588234,for,6.36649
253,17253,273.5,the,2.94963
254,17254,289.6329411764706,Kansas,13.8009
255,17255,281.510625,City,2.42276
256,17256,283.96999999999997,Medical,15.4734
257,17257,297.40176470588233,Depot,17.4153
258,17258,328.5641176470588,when,9.93381
259,17259,298.4852941176471,he,4.13385
260,17260,310.97705882352943,decided,9.91899
261,17261,332.52176470588233,that,4.33454
262,17262,268.0811764705882,if,7.46671
263,17263,285.79352941176467,he,5.20417
264,17264,253.43411764705883,was,5.31173
265,17265,256.4052941176471,going,8.98327
266,17266,251.55,to,1.35473
267,17267,245.12176470588233,make,5.94323
268,17268,285.285294117647,the,3.98174
269,17269,351.4294117647059,Army,11.957
270,17270,265.63352941176475,his,9.65034
272,17272,320.3458823529412,he,11.7395
273,17273,264.25470588235294,wanted,7.35505
274,17274,235.0629411764706,to,0.9939
275,17275,263.3076470588235,be,6.15069
276,17276,284.4858823529412,in,6.58681
277,17277,264.21235294117645,the,3.06679
