code,mean_rt,word,n_gram_surprisal,rnn_surprisal
17000,380.27529411764704,In,4.186636801678008,6.475118637084961
17002,296.04294117647055,County,10.41268184640677,11.517128944396973
17004,403.5535294117647,near,10.41268184640677,10.847681045532228
17005,306.07588235294116,the,1.4297136266259465,1.9809712171554563
17006,289.0482352941176,River,8.065943143301833,12.027287483215332
17008,346.30529411764707,there,10.41268184640677,11.58448600769043
17009,306.6311764705883,is,2.0847739796902856,5.838072299957275
17010,281.77647058823527,a,2.1433947635148103,3.8872437477111816
17011,258.03647058823526,quiet,8.693213194690632,12.763314247131348
17012,298.04352941176467,little,10.49069071389983,12.535977363586426
17013,292.3229411764706,suburb,11.224963353311129,15.405909538269045
17014,335.39294117647063,by,10.498994340453384,7.412662506103516
17015,262.9494117647059,the,1.5126676051007568,2.0282015800476074
17016,243.0141176470588,name,6.340931202486426,9.27505874633789
17017,244.76882352941175,of,2.396832855699767,2.84909462928772
17019,375.4025,which,10.41268184640677,9.533936500549316
17020,324.44176470588235,means,6.376572586152276,11.28495979309082
17022,310.26529411764704,of,10.41268184640677,4.615730285644531
17025,377.0558823529412,none,10.41268184640677,18.7557315826416
17026,269.1035294117647,of,2.245763444287656,5.043450832366943
17027,256.2182352941177,the,1.200893820446828,1.9831125736236568
17028,264.6788235294118,residents,8.671889613891672,12.949668884277344
17029,326.9576470588235,realize,10.8585950698419,17.551027297973633
17030,299.5382352941176,the,4.499504830299638,4.331473350524902
17031,268.4082352941176,influence,8.323705425105729,11.928735733032228
17032,296.78470588235297,their,10.930943917720436,14.518776893615724
17033,296.24176470588236,town,8.569802550104201,12.864617347717283
17034,361.4358823529412,has,5.665161360223731,9.35735034942627
17035,266.3805882352941,had,5.114100127116052,7.296910762786865
17036,256.7835294117647,on,6.835921296707732,9.43845272064209
17037,285.1605882352941,American,6.976002755096158,10.42371940612793
17038,348.18470588235294,military,6.068696863905132,10.614338874816896
17040,369.60823529411766,or,10.41268184640677,7.760657787322998
17041,260.2647058823529,the,3.3386887721941068,3.669300556182861
17043,290.52941176470586,of,10.41268184640677,3.044395923614502
17045,270.42294117647054,that,10.41268184640677,7.767211437225342
17046,247.63823529411766,have,5.6172349856678645,8.007524490356445
17047,271.3376470588235,been,1.3925081133492154,2.9622371196746826
17048,319.1605882352941,done,5.979078896320756,9.557709693908691
17049,281.86823529411765,in,3.118252094565953,3.0004961490631104
17050,245.44058823529411,its,5.158973932693635,6.8820343017578125
17052,300.72764705882355,The,3.120973059329459,5.230093955993652
17053,274.9164705882353,cry,14.60795043212804,18.084381103515625
17056,356.94529411764705,from,10.41268184640677,6.717953205108643
17057,273.3517647058824,the,1.1546306840536642,1.9232957363128664
17058,265.30176470588236,lips,10.748419945364049,16.75716781616211
17059,253.22411764705885,of,10.453889595415305,3.0502142906188965
17060,247.4129411764706,a,3.501907207056287,4.12733268737793
17061,307.34235294117644,charging,15.245721081725222,18.81029319763184
17062,346.47941176470584,cavalry,10.445201191835514,14.957656860351562
17064,291.204705882353,was,10.41268184640677,6.260326385498047
17065,274.834705882353,the,2.927780116532962,3.909191131591797
17066,243.74,last,5.955929642030061,8.324872970581055
17067,258.34352941176473,sound,11.574763467988918,12.11277675628662
17068,250.1764705882353,heard,10.918337725098906,15.780181884765623
17069,288.1482352941177,on,4.165879769054978,6.006118297576904
17070,274.4364705882353,this,5.688600872626809,7.182040691375732
17071,296.5311764705882,earth,8.29967487785245,14.048638343811035
17072,266.5064705882353,by,5.98098907839406,6.997169017791748
17074,324.6235294117647,numbers,10.41268184640677,13.46716022491455
17075,311.3388235294118,of,2.2093527398993,5.773537635803223
17077,500.07117647058817,Sioux,10.41268184640677,16.320579528808594
17078,363.69235294117647,and,3.741283396764125,4.051944255828857
17080,377.6035294117647,Mexican,10.41268184640677,17.503684997558594
17082,440.943125,under,10.41268184640677,10.359835624694824
17085,429.90588235294115,Japanese,10.41268184640677,16.048873901367188
17086,286.37176470588236,in,5.149893768608938,4.963708877563477
17087,268.2917647058824,the,1.3154413828328713,1.914519190788269
17088,240.98352941176472,South,6.640819227967643,9.787101745605469
17090,359.81823529411764,and,10.41268184640677,4.21838903427124
17091,320.58187499999997,Chinese,9.243733147547305,12.671706199645996
17092,286.32235294117646,and,4.192873604603918,4.351232051849365
17093,321.4123529411765,North,7.01162764987268,10.570560455322266
17094,282.0876470588235,Korean,2.4469255178640097,10.474732398986816
17095,298.6858823529412,Communists,10.833266902590838,18.92408561706543
17096,309.43176470588236,in,5.835881323527905,4.716955661773682
17099,459.94666666666666,is,10.41268184640677,6.615418434143066
17100,330.0094117647059,the,2.5476439922727514,3.5419461727142334
17101,300.55999999999995,battle,6.826413715968905,9.974806785583496
17102,276.0141176470588,cry,6.57868724663088,18.716426849365234
17103,275.82705882352946,of,10.433497965716953,4.297468185424805
17104,269.52235294117645,the,1.200893820446828,1.9668573141098025
17105,279.05294117647054,7th,7.898924016339852,11.341588973999023
17106,282.47764705882355,U.S.,10.682330661929695,12.380908966064451
17107,302.83588235294116,Cavalry,11.35133551560147,16.21388053894043
17110,401.029375,Fighting,10.41268184640677,18.663549423217773
17112,355.5176470588235,Today,8.890696697634347,14.411298751831056
17113,274.72235294117644,a,6.109885443094584,8.866155624389648
17114,331.57375,battle,7.931834250091759,11.07133960723877
17115,303.1664705882353,cry,6.57868724663088,18.19120407104492
17116,291.48823529411766,may,10.433497965716953,10.451866149902344
17117,293.77176470588233,seem,6.61427867282202,11.875669479370115
17118,273.80529411764707,an,10.586053953551886,7.907531261444092
17120,509.60647058823525,for,10.41268184640677,5.996432304382324
17121,347.95411764705887,in,7.752550928506454,10.684276580810549
17122,374.94588235294117,the,1.3154413828328713,2.026885509490967
17123,307.0135294117647,modern,7.285907671415301,10.450389862060549
17126,405.20411764705887,de,10.41268184640677,10.691757202148438
17127,443.555294117647,corps,6.2213415963618495,15.831025123596191
17128,321.2352941176471,has,10.528864328377765,9.509400367736816
17129,328.739375,been,1.4880843191716768,3.492658853530884
17130,474.8864705882353,sacrificed,8.367932516202176,17.66298484802246
17131,306.2176470588235,to,5.821316120948482,2.8002748489379883
17133,388.88882352941175,charts,10.41268184640677,14.887553215026855
17134,305.5394117647059,and,3.968547288439674,3.933385610580444
17136,269.3670588235294,But,7.476636339337408,11.202899932861328
17138,272.0070588235294,tell,10.41268184640677,15.183412551879885
17139,265.37,that,10.666137474577225,6.758659362792969
17140,274.9235294117648,to,6.926727023214059,8.997607231140137
17141,274.10823529411766,a,3.5472490032953647,4.628322601318359
17142,255.72235294117647,veteran,8.693213194690632,12.812732696533203
17143,275.01882352941175,of,4.287885930446977,3.3274810314178467
17144,236.71823529411765,the,1.200893820446828,2.031778335571289
17145,255.56882352941176,Fighting,16.455530210112926,16.053321838378906
17147,364.96529411764703,especially,10.41268184640677,16.54367446899414
17148,282.74764705882353,in,2.156243201347988,4.823164463043213
17149,275.9664705882353,a,3.0383119238710807,4.155121803283691
17150,263.24411764705883,saloon,9.942416173666146,16.125314712524414
17151,315.30117647058825,on,10.433497965716953,6.759179592132568
17152,295.5076470588235,Saturday,6.915414875697011,13.39742660522461
17154,295.1135294117647,Of,8.151556985289506,11.32268238067627
17155,296.2964705882353,all,4.42276210298829,8.444622993469238
17156,279.1311764705883,the,2.29126380085231,4.489736557006836
17157,326.9429411764706,thousands,9.903022323078334,15.067325592041016
