,word,wlen,surp,mono_gaze_dur,mono_fix_pup_size,l2_gaze_dur,l2_fix_pup_size
109,little,6,12.620115280151367,219.53846153846155,2166.513076923077,269.6666666666667,2311.75
110,of,2,6.2848334312438965,210.1428571428572,2001.857142857143,203.25,2311.625
111,him,3,8.589520454406738,209.5,2117.91625,259.2857142857143,2477.3571428571427
112,for,3,5.372280597686768,217.0,1922.75,265.6666666666667,2185.333333333333
113,some,4,8.642650604248047,237.11111111111111,1863.611111111111,324.2857142857143,2528.285714285714
114,I,1,9.764931678771973,191.0,1921.9175,139.25,2209.0
115,had,3,8.506857872009277,352.125,2048.22875,261.2857142857143,2514.428571428572
116,never,5,9.68197536468506,236.25,2184.458333333333,228.66666666666663,2321.7966666666666
117,known,5,7.274399757385254,201.7,2164.267,216.625,2302.02125
118,him,3,8.100244522094727,235.875,1994.5625,288.5,2096.9166666666665
119,particularly,12,14.91052532196045,192.57142857142856,2094.6071428571427,389.22222222222223,2357.555555555556
120,He,2,7.745289802551269,212.25,2573.0,160.4,2470.2
121,was,3,2.6943106651306152,186.0,1972.8333333333333,309.22222222222223,2303.277777777778
122,a,1,4.044680595397949,175.0,2074.125,225.0,2230.7
123,good,4,9.520281791687012,266.7,2063.9,190.42857142857144,2167.0
124,fifteen,7,17.249906539916992,238.0,1966.833076923077,302.8888888888889,2277.981111111111
125,years,5,7.85638427734375,201.3,1997.7,276.8888888888889,2284.866666666667
126,my,2,18.30280876159668,204.5,2012.375,212.8333333333333,2257.891666666667
127,for,3,5.833743572235107,181.5,1823.6,182.44444444444449,2335.6666666666665
128,one,3,8.46245002746582,283.0,1527.8333333333333,263.4,2218.0
129,though,6,15.372889518737791,163.375,1950.385,290.22222222222223,2272.508888888889
130,he,2,7.318618297576904,237.8,2190.8,199.5,2153.0
131,hardly,6,18.097797393798828,196.45454545454547,1997.8636363636365,259.7142857142857,2267.56
132,looked,6,16.036245346069336,276.72727272727275,2048.2272727272725,323.7142857142857,2262.5114285714285
133,his,3,6.186583518981934,192.4,1999.433,229.0,2390.7
134,As,2,9.578880310058594,260.3636363636364,2144.6363636363635,259.25,2664.83375
135,a,1,5.711001396179199,153.5,2668.0,247.75,3173.5
136,I,1,11.015668869018556,184.0,2324.0,190.25,2386.25
137,had,3,8.377580642700195,254.625,2572.6875,200.57142857142856,2687.8571428571427
138,often,5,8.885324478149414,225.5,2339.0,244.42857142857144,2685.452857142857
139,stayed,6,16.718332290649414,258.1818181818182,2416.181818181818,357.0,2702.9375
140,at,2,5.512002944946289,234.88888888888889,2270.777777777778,247.0,2346.5
141,his,3,10.35501766204834,222.42857142857144,2295.785714285714,230.5,2633.5
142,place,5,13.109783172607422,295.3636363636364,2216.590909090909,228.125,2568.16625
143,in,2,2.83262300491333,291.8,2128.4,233.6,2761.466
144,We,2,11.362457275390623,335.8888888888889,2120.611111111112,158.0,2731.375
145,had,3,9.807639122009276,271.46153846153845,2322.9615384615386,231.16666666666663,2807.083333333333
146,a,1,4.014493465423584,266.0,2296.8,244.28571428571428,2714.3571428571427
147,good,4,9.359941482543944,173.75,2263.7916666666665,207.3333333333333,2645.258888888889
148,yarn,4,22.2504825592041,272.1818181818182,2311.1363636363635,237.0,2830.0714285714284
149,about,5,10.944562911987305,278.5,2358.4,313.77777777777777,2514.116666666667
150,old,3,13.7521333694458,243.25,2055.5625,187.57142857142856,2453.785714285714
