,word,wlen,surp,l1_gaze_dur,l1_fix_pup_size
0,De,2.0,4.718138694763184,191.22222222222223,2774.9444444444443
1,enorme,6.0,16.552915573120117,198.66666666666663,2702.777777777778
2,belangstelling,14.0,12.87282943725586,312.22222222222223,2688.511111111111
3,die,3.0,8.031991958618164,156.0,2607.333333333333
4,het,3.0,9.582423210144045,197.25,2719.0625
5,publiek,7.0,14.436333656311035,176.44444444444446,2517.277777777778
6,toonde,6.0,21.22937393188477,238.625,2641.375
7,voor,4.0,11.861841201782228,221.8333333333333,2512.833333333333
8,wat,3.0,8.321138381958008,250.42857142857144,2373.6428571428573
9,bekend,6.0,12.75261116027832,278.22222222222223,2432.981111111111
10,stond,5.0,17.441303253173828,163.85714285714286,2516.785714285714
11,als,3.0,12.50308609008789,184.0,2384.0
12,zaak,4.0,18.72848892211914,183.2,2393.05
13,wordt,5.0,8.514315605163574,291.42857142857144,2554.714285714286
14,nu,2.0,15.038503646850586,195.0,2388.875
15,wat,3.0,8.12910270690918,304.42857142857144,2482.1428571428573
16,Niettemin,9.0,19.02563095092773,380.0,2444.066
17,is,2.0,4.737146377563477,168.0,2380.5
18,zowel,5.0,15.58143138885498,351.22222222222223,2389.852222222222
19,door,4.0,13.36461067199707,180.1,2364.05
20,mijn,4.0,15.012443542480469,222.4,2560.1
21,vriend,6.0,16.465085983276367,267.9,2468.55
22,Poirot,6.0,21.016590118408203,307.1,2377.703
23,als,3.0,12.750349044799805,204.8333333333333,2528.333333333333
24,door,4.0,15.881271362304688,181.5,2220.5625
25,de,2.0,3.025843858718872,178.0,2453.7
26,betrokken,9.0,15.765326499938965,314.6,2346.675
27,verzocht,8.0,24.521713256835938,288.3333333333333,2357.3888888888887
28,een,3.0,6.265955924987793,96.5,2237.0
29,verslag,7.0,14.51095485687256,327.875,2384.95875
30,van,3.0,3.954639673233032,235.57142857142856,2308.285714285714
31,het,3.0,7.3382391929626465,158.5,2082.5
32,hele,4.0,10.47120189666748,181.5,2268.47875
33,gebeuren,8.0,13.2054443359375,187.5,2207.0
34,te,2.0,6.117131233215332,273.5,2090.0
35,gezien,6.0,22.548812866210938,280.8,2245.933
36,het,3.0,8.809908866882324,192.4,2397.9
37,feit,4.0,12.28488063812256,219.0,2096.0
38,dat,3.0,7.36531400680542,170.66666666666666,1994.0
39,er,2.0,9.229903221130373,222.3333333333333,2130.1666666666665
40,in,2.0,4.691245079040527,195.6,2060.7
41,de,2.0,2.161890983581543,163.0,2047.388333333333
42,hele,4.0,9.588733673095703,279.85714285714283,2042.428571428572
43,wereld,6.0,9.199750900268556,233.375,2123.75
44,grote,5.0,12.2261381149292,166.66666666666666,2056.833333333333
45,aan,3.0,8.859752655029297,241.0,1857.5
46,gegeven,7.0,18.772293090820312,284.55555555555554,2144.268888888889
47,deze,4.0,13.866328239440918,197.3,2169.017
48,manier,6.0,16.71505355834961,208.4,2173.067
49,hopen,5.0,21.315895080566406,220.7142857142857,2140.6428571428573
50,we,2.0,14.219101905822754,167.2,2171.6
51,voorgoed,8.0,20.559476852416992,269.2,2058.45
52,een,3.0,8.870771408081055,178.5,2093.75
53,einde,5.0,10.713571548461914,245.77777777777777,2056.611111111112
54,te,2.0,7.225684642791748,150.66666666666666,2034.6666666666667
55,maken,5.0,4.6768479347229,123.71428571428572,1899.571428571429
56,aan,3.0,9.46048069000244,165.0,2259.4
57,de,2.0,1.7799832820892334,131.0,1926.6666666666667
58,geruchten,9.0,19.509614944458008,204.5,2024.45
59,die,3.0,8.24680233001709,175.75,2121.5
60,nog,3.0,7.4433913230896,197.57142857142856,1961.3328571428567
61,steeds,6.0,9.776144981384276,210.5,2052.967
62,de,2.0,4.779819488525391,187.8,2276.1
63,ronde,5.0,15.637022972106934,181.0,2020.467
64,Ik,2.0,9.674918174743652,206.875,2520.27625
65,zal,3.0,12.41315460205078,438.4,2639.266
66,daarom,6.0,17.42523765563965,278.8888888888889,2467.431111111111
67,in,2.0,3.773246765136719,219.16666666666663,2494.9166666666665
68,het,3.0,7.861001491546631,198.8333333333333,2549.1116666666667
69,kort,4.0,12.037009239196776,159.8,2267.3
70,de,2.0,5.406504154205322,231.625,2482.0
71,omstandigheden,14.0,18.394058227539062,234.375,2438.47875
72,die,3.0,8.438764572143555,166.33333333333334,2333.5
73,geleid,6.0,22.097332000732425,230.5,2385.8125
74,hebben,6.0,9.756267547607422,175.6,2239.6
75,dat,3.0,6.762152671813965,208.5,2119.75
76,ik,2.0,9.588953018188477,185.7142857142857,2325.928571428572
77,bij,3.0,10.112611770629885,210.66666666666663,2298.25
78,de,2.0,2.323259353637696,277.6666666666667,2078.333333333333
79,zaak,4.0,13.972803115844728,176.25,2615.25
80,betrokken,9.0,16.542339324951172,245.7,2225.6
81,was,3.0,6.636389255523682,230.8333333333333,2200.6666666666665
82,gewond,6.0,18.999303817749023,214.4,2309.6
83,van,3.0,3.770392179489136,191.7142857142857,2335.118571428572
84,het,3.0,8.179346084594727,281.6,2322.317
85,front,5.0,16.598081588745117,242.0,2386.0
86,naar,4.0,13.319408416748049,228.9,2290.767
87,huis,4.0,15.505044937133787,224.3333333333333,1980.8333333333333
88,en,2.0,2.244919776916504,191.0,1983.0
89,nadat,5.0,19.09164428710937,247.9,2328.775
90,ik,2.0,11.078500747680664,178.33333333333334,2341.6666666666665
91,enige,5.0,16.173450469970703,243.9,2304.55
92,maanden,7.0,17.005983352661133,184.3333333333333,2345.1666666666665
93,had,3.0,9.655254364013672,269.3333333333333,2091.083333333333
94,in,2.0,4.868048191070557,218.0,2395.6666666666665
95,een,3.0,6.013281345367432,243.42857142857144,2067.5
96,nogal,5.0,15.982623100280762,230.42857142857144,2251.1428571428573
97,kreeg,5.0,12.675578117370604,210.3333333333333,2151.5
98,ik,2.0,15.971650123596191,192.2,2314.1
99,een,3.0,6.923736572265625,254.25,2307.75
100,maand,5.0,17.775911331176758,208.125,2214.375
101,ik,2.0,11.294234275817873,152.0,2100.0
102,geen,4.0,14.53644847869873,289.0,2032.5
103,familie,7.0,19.157909393310547,289.9,2066.0
104,of,2.0,6.705515384674072,141.5,2092.5
105,vrienden,8.0,15.983177185058594,221.125,2078.5
106,was,3.0,7.559967994689941,236.66666666666663,1958.0
107,ik,2.0,11.917313575744627,195.4,2141.2
108,nog,3.0,7.116827964782715,183.0,1868.125
109,aan,3.0,9.83839988708496,191.44444444444449,2019.111111111111
110,het,3.0,8.549347877502441,254.66666666666663,1772.0
111,overleggen,10.0,19.99665069580078,245.3,1990.767
112,wat,3.0,8.001494407653809,206.0,2001.0
113,ik,2.0,12.161428451538086,212.5,1664.5
114,zou,3.0,13.080682754516602,258.7142857142857,1976.928571428572
115,gaan,4.0,15.956165313720703,265.7142857142857,2075.5471428571427
116,toen,4.0,12.441266059875488,181.2,1904.4
117,ik,2.0,12.123486518859863,301.0,1574.8333333333333
118,John,4.0,15.037959098815918,305.6666666666667,2012.611111111111
119,Cavendish,9.0,18.35836601257324,381.2,1998.45
120,tegen,5.0,11.162256240844728,221.5,2019.4
121,lijf,4.0,23.03956794738769,175.75,2014.375
122,Ik,2.0,9.674918174743652,229.5,1729.0
123,had,3.0,10.05769157409668,255.0,1995.9166666666667
124,hem,3.0,12.83684539794922,202.4,1875.8
125,de,2.0,4.54726505279541,191.5,2276.5
126,laatste,7.0,14.011822700500488,206.3,1981.675
127,jaren,5.0,13.244672775268556,332.0,2147.0
128,weinig,6.0,13.99452018737793,208.7,1956.275
129,had,3.0,12.152636528015137,148.2,2179.534
130,ik,2.0,9.122653007507324,206.25,1789.5
131,hem,3.0,13.857041358947754,255.57142857142856,1933.428571428572
132,nooit,5.0,13.201650619506836,202.5,1947.75
133,goed,4.0,10.749736785888672,291.375,2067.4375
134,In,2.0,6.524052143096924,201.0,2186.555555555556
135,de,2.0,2.11075758934021,170.0,2693.5
136,eerste,6.0,7.029367923736572,216.3,2254.0
137,plaats,6.0,13.530162811279297,188.0,2325.428571428572
138,was,3.0,5.793800354003906,218.8,2156.6
139,hij,3.0,8.507064819335938,165.125,2276.91625
140,ruim,4.0,19.62645721435547,276.1428571428572,2348.547142857143
141,jaar,4.0,19.416481018066406,206.6,2190.434
142,ouder,5.0,21.86221504211425,279.75,2453.54125
143,dan,3.0,10.47346019744873,211.3333333333333,2149.89
144,hoewel,6.0,21.158123016357425,373.57142857142856,2515.6671428571426
145,je,2.0,11.789533615112305,187.5,2443.0
146,hem,3.0,13.997718811035156,301.57142857142856,2504.4171428571426
147,zijn,4.0,13.448732376098633,180.57142857142856,2252.7614285714285
148,jaar,4.0,18.37385368347168,215.16666666666663,2499.0383333333334
149,nauwelijks,10.0,18.968158721923828,238.5,2291.153
150,Maar,4.0,14.64962387084961,245.8333333333333,2102.5
151,als,3.0,11.84442901611328,244.625,2331.89625
152,jongen,6.0,16.236919403076172,225.16666666666663,2296.0
153,had,3.0,10.212416648864746,178.57142857142858,2320.785714285714
154,ik,2.0,9.990595817565918,345.3333333333333,2244.6666666666665
155,dikwijls,8.0,19.38782501220703,228.75,2245.1875
156,op,2.0,4.761630058288574,224.8333333333333,2268.0
157,het,3.0,10.139161109924316,200.8333333333333,2385.833333333333
158,landgoed,8.0,19.65715789794922,308.7,2194.425
159,van,3.0,4.224526882171631,223.6,2082.6
160,zijn,4.0,12.10998821258545,234.0,2221.31
161,moeder,6.0,14.61447525024414,211.3333333333333,2251.6666666666665
162,in,2.0,4.919534206390381,233.75,2141.125
163,We,2.0,14.441596031188965,177.0,2193.0
164,een,3.0,10.536720275878906,227.66666666666663,1973.0
165,hele,4.0,11.174181938171388,330.0,2221.0
166,tijd,4.0,13.955774307250977,189.22222222222223,2099.611111111112
167,over,4.0,9.15688705444336,153.16666666666666,2088.778333333333
168,en,2.0,3.36759090423584,170.83333333333334,2079.333333333333
169,het,3.0,8.329009056091309,238.8571428571429,1947.642857142857
170,eind,4.0,13.63063907623291,298.25,2200.6875
171,van,3.0,4.8009934425354,240.16666666666663,1937.0833333333333
172,liedje,6.0,21.29439163208008,197.3333333333333,2005.63
173,was,3.0,9.614008903503418,246.5,2096.4166666666665
174,dat,3.0,7.22792911529541,295.25,1945.125
175,hij,3.0,9.71552562713623,191.28571428571428,2236.0
176,mij,3.0,13.981432914733888,193.8,1731.9
177,mijn,4.0,22.884105682373047,139.4,2171.6
178,verlof,6.0,17.853363037109375,260.0,1961.111111111111
179,door,4.0,10.96355152130127,179.71428571428572,2099.2614285714285
180,te,2.0,7.173736095428467,138.75,1763.5
181,brengen,7.0,8.067535400390625,241.77777777777777,2015.3333333333333
182,op,2.0,8.160496711730957,173.0,2202.1666666666665
183,Moeder,6.0,17.734249114990234,199.6,1925.45
184,zal,3.0,12.359243392944336,198.5,2058.9166666666665
185,het,3.0,8.775242805480957,225.42857142857144,1827.5
186,erg,3.0,16.20511817932129,191.5,1920.5833333333333
187,leuk,4.0,16.931550979614258,177.85714285714286,1948.7142857142856
188,vinden,6.0,15.258590698242188,222.5,1987.0
189,je,2.0,14.358787536621094,224.0,1725.5
190,weer,4.0,10.898180961608888,284.0,1903.1666666666667
191,eens,4.0,13.878028869628906,287.75,1984.3125
