,word,sentid,sentpos,wlen,surp,entropy,entred
43,family,1,21,6,8.543753623962402,13.125164031982422,0.0
44,<unk>,1,22,5,24.896522521972656,10.311304092407228,2.8138599395751958
45,to,1,23,2,5.280773162841797,8.315629005432129,1.9956750869750977
46,write,1,24,5,10.077533721923828,9.964055061340332,0.0
47,an,1,25,2,8.03448486328125,10.752373695373535,0.0
48,account,1,26,7,12.33954620361328,12.845376968383787,0.0
49,of,1,27,2,2.846163511276245,7.473001003265381,5.372375965118408
50,the,1,28,3,1.9197088479995728,10.297289848327637,0.0
51,whole,1,29,5,11.438663482666016,13.12462329864502,0.0
52,<unk>,1,30,5,25.497329711914062,11.658187866210938,1.466435432434082
53,<unk>,2,0,5,22.81322860717773,13.10289478302002,0.0
54,we,2,1,2,13.27849006652832,10.164562225341797,2.9383325576782227
55,<unk>,2,2,5,26.212629318237305,8.731512069702148,1.4330501556396484
56,will,2,3,4,10.935226440429688,10.952658653259276,0.0
57,<unk>,2,4,5,24.247690200805664,11.442864418029783,0.0
58,silence,2,5,7,19.553943634033203,9.969501495361328,1.473362922668457
59,the,2,6,3,6.572230815887451,8.873659133911133,1.095842361450195
60,sensational,2,7,11,17.183116912841797,13.117344856262209,0.0
61,rumours,2,8,7,19.10099029541016,11.686081886291504,1.4312629699707031
62,which,2,9,5,10.605427742004396,6.620236873626709,5.065845012664795
63,still,2,10,5,10.578343391418455,9.792263984680176,0.0
64,<unk>,2,11,5,24.76038932800293,9.31843376159668,0.4738302230834961
65,I,3,0,1,9.403525352478027,13.10289478302002,0.0
66,will,3,1,4,11.266798973083496,11.251465797424316,1.8514289855957031
67,therefore,3,2,9,12.06257438659668,11.4710693359375,0.0
68,briefly,3,3,7,14.726457595825195,11.057064056396484,0.4140052795410156
69,set,3,4,3,11.71568489074707,8.730055809020996,2.3270082473754883
70,down,3,5,4,9.168901443481444,8.340805053710938,0.3892507553100586
71,the,3,6,3,3.1724321842193604,8.473417282104492,0.0
72,circumstances,3,7,13,14.41969108581543,13.118453025817873,0.0
73,which,3,8,5,8.67845630645752,7.999033451080322,5.119419574737549
74,led,3,9,3,9.08117389678955,9.802111625671388,0.0
75,to,3,10,2,3.5184266567230225,8.293961524963379,1.5081501007080078
76,my,3,11,2,11.753422737121582,10.01773738861084,0.0
77,being,3,12,5,10.437559127807615,12.029152870178224,0.0
78,connected,3,13,9,11.419207572937012,9.884739875793455,2.1444129943847656
79,with,3,14,4,5.156789779663086,7.1527276039123535,2.7320122718811035
80,the,3,15,3,1.8440061807632449,9.52704620361328,0.0
81,<unk>,3,16,5,23.4636173248291,13.121439933776855,0.0
82,I,4,0,1,9.403525352478027,13.10289478302002,0.0
83,had,4,1,3,9.842000007629396,11.251465797424316,1.8514289855957031
84,been,4,2,4,5.169771194458008,9.954713821411133,1.2967519760131836
85,invalided,4,3,9,21.49365234375,9.891714096069336,0.0629997253417968
86,home,4,4,4,11.012693405151367,7.838297367095947,2.0534167289733887
87,from,4,5,4,5.913810729980469,7.726644515991211,0.1116528511047363
88,the,4,6,3,1.9193437099456787,10.296801567077637,0.0
89,<unk>,4,7,5,23.46389389038086,13.120728492736816,0.0
90,<unk>,4,8,5,24.245365142822266,10.312594413757324,2.808134078979492
91,after,4,9,5,9.424434661865234,8.865021705627441,1.4475727081298828
92,spending,4,10,8,14.889689445495604,11.739822387695312,0.0
93,some,4,11,4,9.941972732543944,10.746066093444824,0.9937562942504884
94,months,4,12,6,9.612436294555664,12.02658462524414,0.0
95,in,4,13,2,4.369965553283691,7.955606937408447,4.070977687835693
96,a,4,14,1,4.696784496307373,10.29346752166748,0.0
97,rather,4,15,6,13.936640739440918,12.307662010192873,0.0
98,depressing,4,16,10,21.289045333862305,11.027597427368164,1.280064582824707
99,<unk>,4,17,5,25.85238265991211,8.740910530090332,2.286686897277832
100,<unk>,4,18,5,25.70475196838379,8.851381301879883,0.0
101,was,4,19,3,6.238349914550781,8.072132110595703,0.7792491912841797
102,given,4,20,5,8.812335968017578,10.136033058166504,0.0
103,a,4,21,1,5.393192768096924,7.146902561187744,2.98913049697876
104,<unk>,4,22,5,25.71620750427246,12.30845832824707,0.0
105,sick,4,23,4,18.13887405395508,10.622775077819824,1.685683250427246
106,<unk>,4,24,5,24.90916633605957,10.179299354553224,0.4434757232666015
107,Having,5,0,6,14.637450218200684,13.10289478302002,0.0
108,no,5,1,2,13.24886417388916,12.735063552856444,0.3678312301635742
109,near,5,2,4,12.49578857421875,11.79989242553711,0.935171127319336
110,relations,5,3,9,13.967907905578612,11.813693046569824,0.0
111,or,5,4,2,8.719602584838867,10.036452293395996,1.777240753173828
112,<unk>,5,5,5,22.81319236755371,11.813546180725098,0.0
113,I,5,6,1,9.962641716003418,9.946630477905272,1.866915702819824
114,was,5,7,3,5.816725730895996,9.496475219726562,0.4501552581787109
115,trying,5,8,6,12.225570678710938,10.16315460205078,0.0
116,to,5,9,2,3.0166337490081787,7.46570348739624,2.697451114654541
117,make,5,10,4,7.88598108291626,10.117515563964844,0.0
118,up,5,11,2,9.684819221496582,10.996806144714355,0.0
119,my,5,12,2,12.744033813476562,7.7446513175964355,3.25215482711792
120,mind,5,13,4,12.79104995727539,12.014153480529783,0.0
121,what,5,14,4,13.684133529663086,7.495231628417969,4.518921852111816
122,to,5,15,2,6.415578365325928,11.725020408630373,0.0
123,<unk>,5,16,5,24.887859344482425,10.092886924743652,1.6321334838867188
124,when,5,17,4,9.507085800170898,10.98005199432373,0.0
125,I,5,18,1,9.864546775817873,10.985593795776367,0.0
126,ran,5,19,3,13.214261054992676,8.958620071411133,2.0269737243652344
127,across,5,20,6,10.788578987121582,8.406742095947266,0.5518779754638672
128,John,5,21,4,10.506964683532717,9.629241943359377,0.0
129,<unk>,5,22,5,22.825626373291016,11.739288330078123,0.0
130,I,6,0,1,9.403525352478027,13.10289478302002,0.0
131,had,6,1,3,9.842000007629396,11.251465797424316,1.8514289855957031
132,seen,6,2,4,8.955912590026855,9.954713821411133,1.2967519760131836
133,very,6,3,4,11.192790985107422,8.185462951660156,1.7692508697509766
134,little,6,4,6,12.620115280151367,12.002638816833496,0.0
135,of,6,5,2,6.2848334312438965,11.995984077453612,0.0066547393798828
136,him,6,6,3,8.589520454406738,9.539381980895996,2.456602096557617
137,for,6,7,3,5.372280597686768,7.811364650726318,1.7280173301696775
138,some,6,8,4,8.642650604248047,9.56624984741211,0.0
139,<unk>,6,9,5,24.391586303710938,12.029413223266602,0.0
140,<unk>,7,0,5,22.81322860717773,13.10289478302002,0.0
141,I,7,1,1,9.764931678771973,10.164562225341797,2.9383325576782227
